{ 0.00000000000000*10^+00,   0.00000000000000*10^+00,   1.00000000000000*10^+00} 
{-3.02329608438000*10^-01,   7.85716242784000*10^-01,  -5.39672858023000*10^-01} 
{ 4.95591527740000*10^-01,  -6.63404112858000*10^-01,  -5.60610400078000*10^-01} 
{ 8.47129322720000*10^-02,   9.75828174686000*10^-01,  -2.01452457407000*10^-01} 
{-1.32977409273000*10^-01,   7.49057067710000*10^-01,  -6.49022740693000*10^-01} 
{-3.81128630456000*10^-01,  -4.64350397308000*10^-01,  -7.99449607897000*10^-01} 
{ 2.39826649105000*10^-01,  -8.71001823832000*10^-01,   4.28764505597000*10^-01} 
{-8.17641721471000*10^-01,  -2.88174255349000*10^-01,   4.98415101963000*10^-01} 
{ 6.99417008471000*10^-01,  -6.75497483418000*10^-01,   2.33493036635000*10^-01} 
{ 5.57064478032000*10^-01,  -8.12952502159000*10^-01,   1.69668490147000*10^-01} 
{ 9.79394203151000*10^-01,   1.97129101258000*10^-01,   4.38988869060000*10^-02} 
{ 5.67256530086000*10^-01,  -6.11477031178000*10^-01,   5.51648320415000*10^-01} 
{-8.91938766936000*10^-01,   1.77492556313000*10^-01,  -4.15862511523000*10^-01} 
{-8.70457726152000*10^-01,   4.91015200872000*10^-01,   3.47479423170000*10^-02} 
{-5.60817204858000*10^-01,   9.21689723880000*10^-02,   8.22793378233000*10^-01} 
{-9.65285825919000*10^-01,   1.48342062092000*10^-01,  -2.14983503774000*10^-01} 
{ 8.83658113299000*10^-01,  -1.48323373209000*10^-01,  -4.44014094101000*10^-01} 
{-1.61994637061000*10^-01,   5.99520580133000*10^-01,  -7.83793857822000*10^-01} 
{-4.03874803970000*10^-02,   3.92274877717000*10^-01,   9.18960974002000*10^-01} 
{ 4.08341649176000*10^-01,  -8.59508094424000*10^-01,   3.07413293740000*10^-01} 
{ 2.85678499280000*10^-02,  -6.71900081390000*10^-01,   7.40090642137000*10^-01} 
{-4.97338960553000*10^-01,   7.13709886819000*10^-01,   4.93226272386000*10^-01} 
{ 4.12569643052000*10^-01,   7.74354796699000*10^-01,   4.79750912934000*10^-01} 
{-7.32962979692000*10^-01,  -1.95787591272000*10^-01,   6.51484834439000*10^-01} 
{ 8.03948976920000*10^-01,  -5.90052662634000*10^-01,   7.41882593630000*10^-02} 
{ 3.34882391576000*10^-01,  -3.63285639077000*10^-01,  -8.69412058953000*10^-01} 
{-9.96308397375000*10^-01,  -7.08707467310000*10^-02,   4.84449644280000*10^-02} 
{ 2.16820529324000*10^-01,   5.50329939753000*10^-01,  -8.06303798500000*10^-01} 
{-2.93708547741000*10^-01,  -7.69974765243000*10^-01,   5.66457544635000*10^-01} 
{-1.50978497918000*10^-01,   8.50568343669000*10^-01,   5.03725109474000*10^-01} 
{ 5.67209100878000*10^-01,  -7.33261737200000*10^-01,   3.74968079493000*10^-01} 
{ 4.43797895668000*10^-01,   7.98867381028000*10^-01,  -4.06022579827000*10^-01} 
{-8.54311577444000*10^-01,   1.02591738320000*10^-02,  -5.19659963820000*10^-01} 
{-8.70928158302000*10^-01,  -4.13078810946000*10^-01,  -2.66176706390000*10^-01} 
{ 5.57234832800000*10^-03,  -9.99408310269000*10^-01,  -3.39408058090000*10^-02} 
{ 6.19123122045000*10^-01,  -1.76332766483000*10^-01,  -7.65240691034000*10^-01} 
{ 5.01175074900000*10^-01,   8.52027393510000*10^-01,   1.51237776392000*10^-01} 
{ 5.29468757710000*10^-01,  -8.47289306383000*10^-01,  -4.19960224130000*10^-02} 
{-2.21942887600000*10^-01,   4.38330291262000*10^-01,   8.70981004618000*10^-01} 
{-7.29880665589000*10^-01,   3.82349338790000*10^-02,   6.82504435026000*10^-01} 
{-1.14519823661000*10^-01,   8.69649349121000*10^-01,  -4.80203310652000*10^-01} 
{-6.82995438448000*10^-01,  -7.29654551739000*10^-01,  -3.34882992360000*10^-02} 
{ 2.15482967407000*10^-01,  -8.14112199119000*10^-01,  -5.39248011589000*10^-01} 
{ 5.77180790319000*10^-01,   5.46759189261000*10^-01,  -6.06561393632000*10^-01} 
{-7.99482827960000*10^-02,  -3.49055073000000*10^-01,  -9.33685615232000*10^-01} 
{-3.82225968313000*10^-01,   7.77113477680000*10^-02,   9.20795447195000*10^-01} 
{ 1.25167775307000*10^-01,  -6.79030732558000*10^-01,  -7.23360416574000*10^-01} 
{ 8.42799301031000*10^-01,  -4.46177412614000*10^-01,  -3.01023345696000*10^-01} 
{ 8.14884430266000*10^-01,  -5.67259361748000*10^-01,  -1.19080568602000*10^-01} 
{ 6.26375034509000*10^-01,   2.04685530703000*10^-01,  -7.52168963508000*10^-01} 
{ 1.19534163355000*10^-01,   9.92263504783000*10^-01,   3.35368583390000*10^-02} 
{-8.72103607728000*10^-01,  -3.66805968290000*10^-01,   3.23865217359000*10^-01} 
{ 9.13443707034000*10^-01,  -3.19055656698000*10^-01,   2.52634285102000*10^-01} 
{ 9.21750714442000*10^-01,  -2.58585881784000*10^-01,  -2.88979172548000*10^-01} 
{-5.36959831656000*10^-01,  -8.39115180003000*10^-01,   8.69474201870000*10^-02} 
{-6.78232729571000*10^-01,  -7.13118247353000*10^-01,   1.77377365608000*10^-01} 
{-1.11406890630000*10^-01,   7.32941016951000*10^-01,   6.71108016933000*10^-01} 
{-6.02237177618000*10^-01,   7.96182969524000*10^-01,  -5.83357603350000*10^-02} 
{-7.76623776294000*10^-01,   5.13132530243000*10^-01,  -3.65445640966000*10^-01} 
{ 4.10733542783000*10^-01,  -7.62423153665000*10^-01,   5.00008891510000*10^-01} 
{-4.27483790809000*10^-01,   8.81749860736000*10^-01,  -1.99436184498000*10^-01} 
