{ 0.00000000000000*10^+00,   0.00000000000000*10^+00,   1.00000000000000*10^+00}  
{-4.88373282363000*10^-01,   6.33891485383000*10^-01,   5.99727539665000*10^-01}  
{-9.04409499440000*10^-01,   9.36218724110000*10^-02,   4.16267224663000*10^-01}  
{-8.42792321703000*10^-01,  -2.50039671450000*10^-01,  -4.76635358717000*10^-01}  
{ 3.36575112118000*10^-01,   7.20115040603000*10^-01,  -6.06754911146000*10^-01}  
{ 6.52174274313000*10^-01,   1.64949608191000*10^-01,  -7.39905630930000*10^-01}  
{-7.73634673921000*10^-01,   3.16502970070000*10^-02,   6.32840935786000*10^-01}  
{ 2.76765260490000*10^-02,   9.93618792426000*10^-01,  -1.09342147606000*10^-01}  
{-1.31807177607000*10^-01,   5.05601709955000*10^-01,   8.52639301711000*10^-01}  
{-6.62892576584000*10^-01,  -9.80588180950000*10^-02,  -7.42265383878000*10^-01}  
{-6.37629867632000*10^-01,  -4.95459192457000*10^-01,  -5.89871461010000*10^-01}  
{-8.42684049655000*10^-01,  -5.08643052766000*10^-01,   1.76538486821000*10^-01}  
{ 9.22308651983000*10^-01,  -3.34756475017000*10^-01,  -1.93092860851000*10^-01}  
{ 2.06876378707000*10^-01,  -2.63513985155000*10^-01,  -9.42211517421000*10^-01}  
{-5.42441106377000*10^-01,  -8.28281095131000*10^-01,   1.40385446402000*10^-01}  
{-6.44694739065000*10^-01,   1.13591543115000*10^-01,   7.55953473935000*10^-01}  
{-6.86396578815000*10^-01,   4.86362629857000*10^-01,   5.40658051701000*10^-01}  
{-9.18091159826000*10^-01,  -1.26845230120000*10^-01,   3.75524845842000*10^-01}  
{-3.58874527640000*10^-02,  -9.97687693124000*10^-01,  -5.77179151010000*10^-02}  
{ 3.75598722903000*10^-01,  -6.18059305090000*10^-02,   9.24719214847000*10^-01}  
{ 1.22043262480000*10^-02,  -3.81826056943000*10^-01,  -9.24153621786000*10^-01}  
{ 8.70154020408000*10^-01,   2.12347524795000*10^-01,   4.44680232842000*10^-01}  
{ 5.57583529344000*10^-01,   8.10481180221000*10^-01,  -1.79501711165000*10^-01}  
{-8.27325980918000*10^-01,  -5.36023937381000*10^-01,  -1.67958506343000*10^-01}  
{ 8.80008792349000*10^-01,  -1.23313705859000*10^-01,   4.58670094224000*10^-01}  
{ 2.39032198645000*10^-01,   7.78060786399000*10^-01,   5.80934609641000*10^-01}  
{-1.82374068654000*10^-01,  -4.94332465663000*10^-01,   8.49926533575000*10^-01}  
{ 2.54825826200000*10^-01,  -9.60754025308000*10^-01,   1.09615241443000*10^-01}  
{-7.32094368476000*10^-01,  -4.34371652132000*10^-01,  -5.24746704106000*10^-01}  
{-4.09193091492000*10^-01,   3.03127182037000*10^-01,  -8.60624729708000*10^-01}  
{ 9.73839385347000*10^-01,   2.27219646942000*10^-01,   2.84316570800000*10^-03}  
{ 8.52599094232000*10^-01,   2.98996757320000*10^-02,  -5.21709491868000*10^-01}  
{-8.65421257613000*10^-01,   3.81631687469000*10^-01,  -3.24658746981000*10^-01}  
{-8.51140660166000*10^-01,   4.69579120850000*10^-01,  -2.34638074221000*10^-01}  
{-4.35246932670000*10^-01,  -7.78902881481000*10^-01,   4.51520108988000*10^-01}  
{-8.62500423020000*10^-01,  -1.40589572124000*10^-01,   4.86135364379000*10^-01}  
