{ 0.00000000000000*10^+00,   0.00000000000000*10^+00,   1.00000000000000*10^+00}
{ 9.62441141588000*10^-01,   1.16708601835000*10^-01,   2.45124766673000*10^-01} 
{ 8.40983545512000*10^-01,   2.93562074401000*10^-01,   4.54497507861000*10^-01} 
{-4.95693765981000*10^-01,  -2.47376478598000*10^-01,  -8.32521812449000*10^-01} 
{-6.66370072833000*10^-01,  -4.34537647864000*10^-01,  -6.05910850391000*10^-01} 
{-8.81624806108000*10^-01,  -2.85963731865000*10^-01,   3.75449657496000*10^-01} 
{-4.22565590499000*10^-01,   5.87145194075000*10^-01,   6.90433807690000*10^-01} 
{-4.30531285039000*10^-01,   2.62647704412000*10^-01,  -8.63515486815000*10^-01} 
{ 5.99241675260000*10^-02,   3.97143326232000*10^-01,  -9.15798161483000*10^-01} 
{ 6.41041221724000*10^-01,  -7.20561419934000*10^-01,   2.64305490208000*10^-01} 
{ 1.03236732599000*10^-01,   5.69183002723000*10^-01,   8.15703920828000*10^-01} 
{ 9.54391007696000*10^-01,  -2.12283506449000*10^-01,  -2.09936936528000*10^-01} 
{-4.81323192497000*10^-01,   5.28580764472000*10^-01,  -6.99235553869000*10^-01} 
{ 8.27544343198000*10^-01,  -2.83203983956000*10^-01,   4.84732775364000*10^-01} 
{ 4.39019997973000*10^-01,   9.15582659800000*10^-02,  -8.93800047723000*10^-01} 
{ 1.15747854174000*10^-01,   9.27983062436000*10^-01,  -3.54189031571000*10^-01} 
{ 1.92796932129000*10^-01,  -6.77933834558000*10^-01,   7.09390625060000*10^-01} 
{-7.68472118654000*10^-01,   6.39644572653000*10^-01,   1.74763705330000*10^-02} 
{-2.84816719807000*10^-01,   9.58214970319000*10^-01,   2.65237021260000*10^-02} 
{-2.91581848986000*10^-01,  -3.86312264329000*10^-01,   8.75067345849000*10^-01} 
{ 1.38120598711000*10^-01,  -9.61790468832000*10^-01,   2.36393304211000*10^-01} 
{-6.56799500153000*10^-01,   5.41393037628000*10^-01,   5.24888555226000*10^-01} 
{ 3.12331448112000*10^-01,  -9.49939047286000*10^-01,  -8.05437525200000*10^-03} 
{-9.28839875560000*10^-01,   2.06437278884000*10^-01,   3.07636368879000*10^-01} 
{ 7.18958498152000*10^-01,   6.87407753085000*10^-01,   1.02806901195000*10^-01} 
{-1.85237115447000*10^-01,  -9.65074000603000*10^-01,  -1.85254917403000*10^-01} 
{-6.69653552558000*10^-01,   6.89894693053000*10^-01,   2.74971693168000*10^-01} 
{ 9.49289085488000*10^-01,  -1.80452752719000*10^-01,   2.57462688966000*10^-01} 
{-9.75891043170000*10^-02,  -8.91424469402000*10^-01,  -4.42536757874000*10^-01} 
{-1.83671926448000*10^-01,   7.87085278940000*10^-01,   5.88864489600000*10^-01} 
{ 6.28137502788000*10^-01,   7.63992705613000*10^-01,  -1.47507367140000*10^-01} 
{ 5.05947320471000*10^-01,  -1.84228221951000*10^-01,  -8.42660828059000*10^-01} 
{ 7.47200513040000*10^-01,   5.64741274239000*10^-01,   3.50369357228000*10^-01} 
{-3.23844951603000*10^-01,  -8.15445024436000*10^-01,   4.79764379090000*10^-01} 
{-8.19334691318000*10^-01,  -5.68936272411000*10^-01,  -7.07261022360000*10^-02} 
{-3.22814070319000*10^-01,   3.82657508934000*10^-01,   8.65658308376000*10^-01} 
{ 9.72274303629000*10^-01,   2.31286497859000*10^-01,  -3.44852781760000*10^-02} 
{-2.06872893801000*10^-01,  -9.71020572230000*10^-01,   1.19677291566000*10^-01} 
{ 3.33128135490000*10^-02,  -3.10884752684000*10^-01,  -9.49863636004000*10^-01} 
{ 4.41914338700000*10^-02,   9.12976514300000*10^-01,   4.05611885316000*10^-01} 
{ 6.43481940325000*10^-01,  -3.68120335079000*10^-01,   6.71132186217000*10^-01} 
{ 7.78526261954000*10^-01,  -6.26697345188000*10^-01,   3.38717726600000*10^-02}
