{ 0.00000000000000*10^+00,   0.00000000000000*10^+00,   1.00000000000000*10^+00}  
{-3.71578046170000*10^-02,  -1.98045820917000*10^-01,  -9.79488208389000*10^-01}  
{-5.36146823247000*10^-01,   8.35924863319000*10^-01,   1.17372087000000*10^-01}  
{ 6.78953966782000*10^-01,   5.11544660728000*10^-01,  -5.26634190943000*10^-01}  
{-7.19200027225000*10^-01,  -6.78652623639000*10^-01,  -1.48936017362000*10^-01}  
{ 6.73713990690000*10^-01,   3.92962954851000*10^-01,  -6.25851080420000*10^-01}  
{ 9.68234240110000*10^-01,  -2.38144368448000*10^-01,  -7.62214933910000*10^-02}  
{ 6.37857515687000*10^-01,  -3.86115880753000*10^-01,  -6.66372505669000*10^-01}  
{ 1.01540137164000*10^-01,   7.03986143766000*10^-01,  -7.02917569797000*10^-01}  
{-4.10445548411000*10^-01,  -2.92208160973000*10^-01,   8.63799075278000*10^-01}  
{-6.87851989443000*10^-01,  -4.64275558920000*10^-02,   7.24364633782000*10^-01}  
{ 9.46706190682000*10^-01,   1.99073833862000*10^-01,   2.53213343242000*10^-01}  
{ 8.42270289324000*10^-01,  -3.54291876981000*10^-01,   4.06273338562000*10^-01}  
{ 2.69827675233000*10^-01,  -8.05466827444000*10^-01,   5.27651604343000*10^-01}  
{ 8.25104650894000*10^-01,   4.81320755897000*10^-01,  -2.95859164157000*10^-01}  
{-1.18277663254000*10^-01,   1.67553740051000*10^-01,  -9.78742120566000*10^-01}  
{ 2.43996159490000*10^-01,   9.60542515496000*10^-01,  -1.33506367187000*10^-01}  
{-3.68669709470000*10^-01,  -6.30127712322000*10^-01,   6.83389867852000*10^-01}  
{-2.10202577331000*10^-01,   8.81257777482000*10^-01,  -4.23319744533000*10^-01}  
{ 1.75970251622000*10^-01,  -9.69500143822000*10^-01,   1.70598773948000*10^-01}  
{ 4.68095541469000*10^-01,   8.47370766589000*10^-01,   2.50697722342000*10^-01}  
{ 9.79352775816000*10^-01,   6.71570383260000*10^-02,   1.90677929253000*10^-01}  
{-2.82240926670000*10^-02,  -9.52029399052000*10^-01,   3.04702188923000*10^-01}  
{ 3.09237127117000*10^-01,   4.04217607330000*10^-01,   8.60802256698000*10^-01}  
{ 2.71395732485000*10^-01,  -7.69879096066000*10^-01,  -5.77607595025000*10^-01}  
{-3.68771198644000*10^-01,  -6.71086653400000*10^-01,  -6.43156673509000*10^-01}  
{ 9.22387055740000*10^-02,  -4.51982913630000*10^-01,   8.87244874305000*10^-01}  
{ 4.18197878122000*10^-01,   8.66150701316000*10^-01,  -2.73666763318000*10^-01}  
{ 2.50240312375000*10^-01,   5.55251866783000*10^-01,   7.93142578920000*10^-01}  
{-9.57858339807000*10^-01,   8.07436404310000*10^-02,   2.75658965740000*10^-01}  
{-7.96317709550000*10^-01,   4.47142659265000*10^-01,   4.07359236696000*10^-01}  
{-8.14126359870000*10^-02,   4.03062147036000*10^-01,  -9.11544232788000*10^-01}  
{-4.91073630454000*10^-01,  -6.34922653343000*10^-01,   5.96422596608000*10^-01}  
{ 9.77237742044000*10^-01,   1.19701879499000*10^-01,  -1.75150950809000*10^-01}  
{ 2.29457763736000*10^-01,   6.71459981804000*10^-01,   7.04620910488000*10^-01}  
{-9.43303784783000*10^-01,  -3.19195622278000*10^-01,   9.10611021900000*10^-02}  
{-9.21753125380000*10^-01,  -2.34119901699000*10^-01,  -3.09126264624000*10^-01}  
{ 7.16898586212000*10^-01,  -1.27359000566000*10^-01,  -6.85445914761000*10^-01}  
{ 1.82347108002000*10^-01,  -7.11026431097000*10^-01,  -6.79110408170000*10^-01}  
{ 8.29802573057000*10^-01,  -2.54984076082000*10^-01,  -4.96397835100000*10^-01}  
{ 8.32580006835000*10^-01,  -3.74909805929000*10^-01,  -4.07741547597000*10^-01}  
{-4.69398937321000*10^-01,   8.74835134041000*10^-01,  -1.19700149914000*10^-01}  
{-7.66728071250000*10^-01,   2.44994960508000*10^-01,  -5.93384811132000*10^-01}  
{ 1.91856246580000*10^-01,  -1.94940408176000*10^-01,   9.61867671724000*10^-01}  
{-1.70505144562000*10^-01,   2.00857338125000*10^-01,   9.64667987133000*10^-01}  
{-4.36234224373000*10^-01,   7.24838528286000*10^-01,  -5.33206160315000*10^-01}  
{-1.36601124900000*10^-01,  -9.88853525500000*10^-01,  -5.92354436370000*10^-02}  
{ 9.78063883802000*10^-01,   1.76989877877000*10^-01,   1.09843626721000*10^-01}  
{ 4.35059686953000*10^-01,  -2.89472066142000*10^-01,  -8.52601308767000*10^-01}  
{-2.18562008241000*10^-01,   4.19818712532000*10^-01,  -8.80898914270000*10^-01}  
{ 1.81684230780000*10^-01,   9.06325700572000*10^-01,  -3.81529244972000*10^-01}  
{ 2.80739113352000*10^-01,   2.26800249690000*10^-02,  -9.59516110705000*10^-01}  
{-8.42838353092000*10^-01,  -4.72241574682000*10^-01,  -2.58091855159000*10^-01}  
{-9.08332817993000*10^-01,  -4.18181184209000*10^-01,   7.48257515300000*10^-03}  
{-7.81922436680000*10^-02,  -3.28109782654000*10^-01,  -9.41397866769000*10^-01}  
{ 5.64558551083000*10^-01,   7.17424943598000*10^-01,  -4.08136120310000*10^-01}  
{-5.73018094431000*10^-01,  -2.36525888224000*10^-01,  -7.84669209065000*10^-01}  
{ 5.80777167977000*10^-01,   8.13824190961000*10^-01,  -1.96994254330000*10^-02}  
{-1.75277109038000*10^-01,  -9.34776553420000*10^-01,   3.08983381791000*10^-01}  
{-1.14356563153000*10^-01,   9.76500451308000*10^-01,  -1.82673055099000*10^-01}  
{ 1.11466979490000*10^-02,   9.74900026216000*10^-01,  -2.22363868488000*10^-01}  
{ 1.36717339252000*10^-01,   2.29981944400000*10^-03,  -9.90607429802000*10^-01}  
{ 5.52412844562000*10^-01,  -7.73504358348000*10^-01,  -3.10694474973000*10^-01}  
{ 8.71317702880000*10^-01,  -2.14944018804000*10^-01,   4.41140033807000*10^-01}  
