{ 9.71835711877000*10^-01,   1.49395930553000*10^-01,  -1.82253134555000*10^-01}  
{-1.11174274156000*10^-01,  -4.59851553091000*10^-01,   8.81008983998000*10^-01}  
{-6.13601946130000*10^-02,   9.96118962758000*10^-01,  -6.31026033660000*10^-02}  
{-7.26499435319000*10^-01,   2.26238974089000*10^-01,   6.48856299256000*10^-01}  
{-6.54571297230000*10^-02,   6.03067262017000*10^-01,   7.95000151982000*10^-01}  
{ 1.04551626215000*10^-01,  -6.84927681319000*10^-01,  -7.21070751604000*10^-01}  
{ 5.96380178343000*10^-01,   6.78041405788000*10^-01,  -4.29640006187000*10^-01}  
{-4.00905950554000*10^-01,  -9.05713931813000*10^-01,   1.37683305200000*10^-01}  
{-3.13670679990000*10^-01,  -9.03092204514000*10^-01,   2.93317532139000*10^-01}  
{-9.33210022055000*10^-01,  -3.57539330181000*10^-01,   3.58424623850000*10^-02}  
{-1.02156555329000*10^-01,  -8.21972094132000*10^-01,   5.60290919676000*10^-01}  
{ 2.26754668465000*10^-01,   4.25241081894000*10^-01,  -8.76214781089000*10^-01}  
{ 9.14826121243000*10^-01,  -3.84062640350000*10^-02,  -4.02017570231000*10^-01}  
{-6.67013796516000*10^-01,  -1.45668495027000*10^-01,  -7.30666329328000*10^-01}  
{ 4.09874071059000*10^-01,  -9.10228255076000*10^-01,  -5.90573410770000*10^-02}  
{ 1.80015361691000*10^-01,   9.76161728588000*10^-01,   1.21254893490000*10^-01}  
{ 1.94520550192000*10^-01,   9.37319865776000*10^-01,  -2.89124929356000*10^-01}  
{ 3.05639063298000*10^-01,   9.25457622338000*10^-01,   2.23859224162000*10^-01}  
{-9.31104614026000*10^-01,   3.22074199469000*10^-01,  -1.71208667349000*10^-01}  
{ 6.35343074930000*10^-02,   3.81560307003000*10^-01,  -9.22157862782000*10^-01}  
{-5.66238873610000*10^-02,   8.61111602549000*10^-01,  -5.05252949854000*10^-01}  
{ 1.85434795836000*10^-01,  -9.28524341240000*10^-01,  -3.21646520607000*10^-01}  
{-8.73975949018000*10^-01,  -1.32369981155000*10^-01,  -4.67594085320000*10^-01}  
{ 6.62988699053000*10^-01,   3.84889578305000*10^-01,  -6.42110580384000*10^-01}  
{ 6.82503709058000*10^-01,   5.80344058169000*10^-01,   4.44285337672000*10^-01}  
{-6.97767604378000*10^-01,  -1.22171444512000*10^-01,   7.05828951252000*10^-01}  
{ 4.78433160827000*10^-01,  -4.44963894900000*10^-02,   8.76995884793000*10^-01}  
{-3.04059986423000*10^-01,  -2.12604336738000*10^-01,   9.28626362245000*10^-01}  
{ 1.66782692091000*10^-01,  -5.74992507440000*10^-02,   9.84315686039000*10^-01}  
{-9.80654147997000*10^-01,   1.69186878327000*10^-01,  -9.84542646060000*10^-02}  
{ 8.55216764285000*10^-01,   3.42403977423000*10^-01,   3.89055011959000*10^-01}  
{ 9.83922915430000*10^-02,   9.59219178469000*10^-01,   2.64985895139000*10^-01}  
{-5.79052902388000*10^-01,   6.90493523910000*10^-01,   4.33493286769000*10^-01}  
{-2.47600599774000*10^-01,  -9.61201054549000*10^-01,   1.21599653473000*10^-01}  
{-5.04569797826000*10^-01,   6.31799570976000*10^-01,   5.88420445970000*10^-01}  
{ 1.57499902470000*10^-02,   7.31715102703000*10^-01,   6.81428606886000*10^-01}  
{-1.56394557751000*10^-01,  -1.05489736139000*10^-01,   9.82045140447000*10^-01}  
{ 6.11647610218000*10^-01,  -7.76039740088000*10^-01,   1.53784013209000*10^-01}  
{-1.70603804206000*10^-01,   9.01819832974000*10^-01,   3.97007973276000*10^-01}  
{-5.06800334344000*10^-01,   7.44786130784000*10^-01,  -4.34104872698000*10^-01}  
{ 6.11298224302000*10^-01,  -2.94741365933000*10^-01,   7.34467159356000*10^-01}  
{ 8.28991120266000*10^-01,  -5.64798057380000*10^-02,  -5.56402510836000*10^-01}  
{ 8.25057781816000*10^-01,   6.84193209760000*10^-02,   5.60890767602000*10^-01}  
{ 7.74729493755000*10^-01,  -2.23505026982000*10^-01,  -5.91472496757000*10^-01}  
{-8.28935242528000*10^-01,   1.36576893162000*10^-01,   5.42414155374000*10^-01}  
{ 4.66678991039000*10^-01,   1.25481171263000*10^-01,   8.75479979772000*10^-01}  
{ 3.61310960304000*10^-01,   7.15992124048000*10^-01,  -5.97335473805000*10^-01}  
{-3.24589405250000*10^-01,  -4.85979826179000*10^-01,  -8.11458764539000*10^-01}  
{ 2.22448199742000*10^-01,  -8.49823714437000*10^-01,  -4.77824709295000*10^-01}  
{ 7.81050511865000*10^-01,   5.87069359985000*10^-01,  -2.12860669175000*10^-01}  
{-4.39143385340000*10^-01,  -2.45210817940000*10^-02,  -8.98082292254000*10^-01}  
{ 8.12665439089000*10^-01,  -5.79000275301000*10^-01,  -6.58298208350000*10^-02}  
{ 7.93110301922000*10^-01,  -3.67224523816000*10^-01,  -4.85924066180000*10^-01}  
{ 2.03765370172000*10^-01,   2.63170585287000*10^-01,  -9.42985109616000*10^-01}  
{-4.40938558729000*10^-01,  -8.67926083961000*10^-01,  -2.28642734865000*10^-01}  
{ 9.28497265526000*10^-01,   1.30640052076000*10^-01,  -3.47600351990000*10^-01}  
{ 4.49330973857000*10^-01,   8.91476173684000*10^-01,  -5.80681296870000*10^-02}  
{-5.05561925375000*10^-01,   1.47924539546000*10^-01,  -8.50014982345000*10^-01}  
{ 1.30777815662000*10^-01,  -8.95908540930000*10^-02,  -9.87355377660000*10^-01}  
{-6.49178475729000*10^-01,   6.27647926284000*10^-01,  -4.29680564236000*10^-01}  
{ 4.72309186699000*10^-01,  -8.55422104738000*10^-01,  -2.12548947037000*10^-01}  
{ 1.29170880125000*10^-01,  -5.43270117169000*10^-01,  -8.29561609236000*10^-01}  
{-6.81476541199000*10^-01,  -7.12638106366000*10^-01,  -1.66543247089000*10^-01}  
{-1.88533869141000*10^-01,   9.01480141392000*10^-01,  -3.89600481087000*10^-01}  
{-4.14044473950000*10^-01,   5.57277893650000*10^-01,   7.19728089518000*10^-01}  
{ 7.32795938424000*10^-01,  -2.07983410029000*10^-01,   6.47883487815000*10^-01}  
{ 9.86550189758000*10^-01,   1.63093215821000*10^-01,  -1.09236460240000*10^-02}  
{-6.03767676232000*10^-01,   3.12099557673000*10^-01,   7.33524682092000*10^-01}  
{ 1.20966599906000*10^-01,   8.89970967431000*10^-01,  -4.39680291618000*10^-01}  
{-1.46419671956000*10^-01,  -9.51778336935000*10^-01,   2.69590943849000*10^-01}  
{ 5.12745097441000*10^-01,  -2.57769903889000*10^-01,  -8.18930486488000*10^-01}  
{ 6.82575473108000*10^-01,  -5.26693913117000*10^-01,  -5.06640153756000*10^-01}  
{-1.55500154347000*10^-01,   7.26342060390000*10^-01,   6.69512444475000*10^-01}  
{-1.47540269368000*10^-01,  -2.82517217980000*10^-01,   9.47848031311000*10^-01}  
