{0.00000000000000*10^+00,   0.00000000000000*10^+00,   1.00000000000000*10^+00} 
{ 3.83834847729000*10^-01,  -9.15710077676000*10^-01,   1.18936383467000*10^-01}  
{-3.84425420649000*10^-01,  -7.43179682487000*10^-01,   5.47632226497000*10^-01}  
{-6.71758242184000*10^-01,  -6.11088131974000*10^-01,  -4.18702948423000*10^-01}  
{ 8.87738025942000*10^-01,   4.57170380655000*10^-01,   5.40040771440000*10^-02}  
{ 5.87120039609000*10^-01,   6.46894158242000*10^-01,   4.86639504275000*10^-01}  
{-6.27148279803000*10^-01,   7.78750258885000*10^-01,  -1.52666114950000*10^-02}  
{-2.62217953740000*10^-01,   8.97874663598000*10^-01,  -3.53642239000000*10^-01}  
{-8.35126104447000*10^-01,   5.29469705570000*10^-01,   1.49084608713000*10^-01}  
{ 8.08961847350000*10^-02,   3.46135026154000*10^-01,   9.34690510792000*10^-01}  
{-3.19767431272000*10^-01,  -9.24021357497000*10^-01,   2.09602769036000*10^-01}  
{-5.96487974751000*10^-01,   7.10084802127000*10^-01,  -3.74141243071000*10^-01}  
{ 7.88346150642000*10^-01,  -6.02916678051000*10^-01,   1.22481941915000*10^-01}  
{-4.96720068684000*10^-01,  -3.07637871494000*10^-01,  -8.11559063402000*10^-01}  
{-5.00022865570000*10^-02,  -6.46992094084000*10^-01,   7.60855440627000*10^-01}  
{-5.44253953559000*10^-01,   4.62254461930000*10^-02,  -8.37646012442000*10^-01}  
{ 7.70533024958000*10^-01,  -6.32977535378000*10^-01,  -7.49553010480000*10^-02}  
{-6.89750606487000*10^-01,   6.96037603269000*10^-01,  -1.99438601294000*10^-01}  
{-1.67594948561000*10^-01,  -9.27049531626000*10^-01,   3.35396927726000*10^-01}  
{-7.73848234841000*10^-01,  -5.84128064051000*10^-01,  -2.44853658786000*10^-01}  
{-2.12133919740000*10^-01,   9.44095075800000*10^-02,  -9.72669545619000*10^-01}  
{ 6.87770676449000*10^-01,   5.06826735480000*10^-01,  -5.19709685132000*10^-01}  
{ 7.67327764008000*10^-01,   1.12957460835000*10^-01,   6.31227941892000*10^-01}  
{-8.26286456995000*10^-01,  -5.60471840643000*10^-01,  -5.58749213230000*10^-02}  
{-2.71856272755000*10^-01,   9.62300406740000*10^-01,  -8.49082747700000*10^-03}  
{-7.25642352026000*10^-01,   8.49753171560000*10^-02,   6.82804783537000*10^-01}  
{-1.15686216750000*10^-02,  -5.51208396925000*10^-01,  -8.34287402609000*10^-01}  
{ 7.39970441884000*10^-01,   1.37066768150000*10^-02,  -6.72499719070000*10^-01}  
{ 2.95780039675000*10^-01,  -7.28197908266000*10^-01,  -6.18257207420000*10^-01}  
{ 6.24654295281000*10^-01,  -2.09434773484000*10^-01,   7.52292554159000*10^-01}  
{-7.38198580502000*10^-01,  -2.59013386813000*10^-01,   6.22876328975000*10^-01}  
{ 3.24461992549000*10^-01,   1.50200120221000*10^-01,   9.33897392264000*10^-01}  
{-7.79830159410000*10^-02,  -8.26167938324000*10^-01,  -5.58001063539000*10^-01}  
{-4.57005027728000*10^-01,   8.89137521355000*10^-01,  -2.41013018220000*10^-02}  
{ 1.82688140660000*10^-02,   3.44248014559000*10^-01,  -9.38700993344000*10^-01}  
{ 7.78859435574000*10^-01,  -3.48511389972000*10^-01,  -5.21457371869000*10^-01}  
{ 1.96677123499000*10^-01,   4.08837327318000*10^-01,  -8.91162246106000*10^-01}  
{-4.42164043796000*10^-01,   2.05510085618000*10^-01,   8.73073057128000*10^-01}  
{ 3.18710841218000*10^-01,   6.28009615814000*10^-01,   7.09948816560000*10^-01}  
{ 4.79417205406000*10^-01,   1.54239640131000*10^-01,  -8.63926661571000*10^-01}  
{-3.19743117926000*10^-01,   6.75363674464000*10^-01,  -6.64566208705000*10^-01}  
{-5.61403408037000*10^-01,  -8.24413740735000*10^-01,  -7.18901768760000*10^-02}  
{-6.55624866476000*10^-01,  -3.01495553761000*10^-01,  -6.92283515275000*10^-01}  
{-3.09759659429000*10^-01,   8.18378530211000*10^-01,   4.84051169485000*10^-01}  
{-5.42426213884000*10^-01,   8.16755512218000*10^-01,  -1.96683084560000*10^-01}  
{ 6.56953177781000*10^-01,   6.48895513114000*10^-01,  -3.83858222868000*10^-01}  
{ 1.88863437339000*10^-01,  -8.95069422501000*10^-01,   4.03957090468000*10^-01}  
{-2.75263094221000*10^-01,   6.02914720992000*10^-01,   7.48815109470000*10^-01}  
{ 9.20898875805000*10^-01,  -3.55053352115000*10^-01,  -1.60880010233000*10^-01}  
{-2.12068307379000*10^-01,  -9.56748189589000*10^-01,  -1.99148022143000*10^-01}  
{-6.82093806261000*10^-01,  -4.59933001901000*10^-01,  -5.68515323649000*10^-01}  
{-3.13315437442000*10^-01,   3.60043366549000*10^-01,  -8.78750368913000*10^-01}  
{ 8.53916541718000*10^-01,  -2.05370128890000*10^-02,   5.20004587367000*10^-01}  
{ 7.50206273311000*10^-01,   6.26417958067000*10^-01,  -2.11639054279000*10^-01}  
{ 6.00632247087000*10^-01,  -5.15777440167000*10^-01,   6.10912871017000*10^-01}  
{-9.73854598723000*10^-01,   8.85786098270000*10^-02,  -2.09191420537000*10^-01}  
{-7.27461646093000*10^-01,   2.40022605131000*10^-01,  -6.42797559493000*10^-01}  
{ 6.26669971420000*10^-01,  -1.51075184484000*10^-01,  -7.64500513769000*10^-01}  
{ 6.64801420076000*10^-01,  -7.44005197401000*10^-01,   6.70472826040000*10^-02}  
{-5.17790995553000*10^-01,  -7.47570716635000*10^-01,  -4.15969360113000*10^-01}  
{ 7.54216900045000*10^-01,  -5.12866579563000*10^-01,  -4.10030168713000*10^-01}  
{ 6.61642584311000*10^-01,   1.85166118220000*10^-02,   7.49590705461000*10^-01}  
{ 3.78491879064000*10^-01,   4.57680132951000*10^-01,  -8.04532655263000*10^-01}  
{-9.16159836140000*10^-01,   1.82333076822000*10^-01,   3.56939495911000*10^-01}  
{-3.40811917538000*10^-01,  -8.77941397455000*10^-01,  -3.36253088459000*10^-01}  
{ 9.45384913680000*10^-01,   3.13965714875000*10^-01,  -8.75950618980000*10^-02}  
{-8.03579366130000*10^-01,  -6.96862725410000*10^-02,   5.91104073534000*10^-01}  
{ 2.20879552939000*10^-01,   8.35371723536000*10^-01,  -5.03355050247000*10^-01}  
{ 8.53248818758000*10^-01,   1.95299876174000*10^-01,   4.83553938723000*10^-01}  
{-3.14933412794000*10^-01,  -1.39318373979000*10^-01,   9.38832965004000*10^-01}  
{-1.38976844122000*10^-01,  -9.14171540333000*10^-01,  -3.80756919364000*10^-01}  
{-3.77205052317000*10^-01,   3.24979831230000*10^-02,  -9.25559414408000*10^-01}  
{-1.96162489371000*10^-01,  -8.42755739598000*10^-01,   5.01281399155000*10^-01}  
{ 7.82589814927000*10^-01,  -5.37387690705000*10^-01,   3.14273211475000*10^-01}  
{-4.26496667169000*10^-01,  -2.86214617155000*10^-01,   8.58010364635000*10^-01}  
{-1.09568002454000*10^-01,   8.63070278976000*10^-01,  -4.93056331859000*10^-01}  
{ 1.73978107491000*10^-01,   2.16614735491000*10^-01,  -9.60629832184000*10^-01}  
{-7.26607167500000*10^-02,   9.40621087596000*10^-01,  -3.31590696208000*10^-01}  
{-6.65907599780000*10^-02,  -4.27732970600000*10^-02,  -9.96863137920000*10^-01}  
{-6.67647886912000*10^-01,   6.25629450643000*10^-01,   4.03527061781000*10^-01}  
{ 4.56902658652000*10^-01,   2.95915423020000*10^-01,   8.38852801710000*10^-01}  
{ 2.17086032372000*10^-01,   7.17950225278000*10^-01,  -6.61378203884000*10^-01}  
{ 2.08516282722000*10^-01,  -9.52063497954000*10^-01,   2.23821481776000*10^-01}  
{ 5.93147595216000*10^-01,   7.70000774866000*10^-01,  -2.35105799581000*10^-01}  
{ 4.30498389455000*10^-01,  -5.49136954924000*10^-01,   7.16323768567000*10^-01}  
{-1.21046671425000*10^-01,  -4.71530906338000*10^-01,   8.73502322667000*10^-01}  
{-3.58496055601000*10^-01,  -8.49331581295000*10^-01,   3.87448632897000*10^-01}  
{ 8.85146109970000*10^-02,   8.72080266323000*10^-01,   4.81291151727000*10^-01}  
{ 4.77965128811000*10^-01,  -8.60939391649000*10^-01,  -1.74162853527000*10^-01}  
{ 6.72493879402000*10^-01,   7.36619348847000*10^-01,  -7.17211061790000*10^-02}  
{-4.39662474985000*10^-01,   8.19391252063000*10^-01,  -3.67824528998000*10^-01}  
{-3.56627813611000*10^-01,  -4.51540259563000*10^-01,  -8.17880184717000*10^-01}  
{ 8.81969286322000*10^-01,  -4.37127437542000*10^-01,   1.76209481395000*10^-01}  
{ 6.60335991450000*10^-02,  -5.18688177601000*10^-01,   8.52409607056000*10^-01}  
{ 1.01155967630000*10^-01,   9.15418703789000*10^-01,  -3.89584479883000*10^-01}  
{-9.39620698628000*10^-01,  -3.04307691709000*10^-01,   1.56555969150000*10^-01}  
{-1.17395802609000*10^-01,  -1.55219649149000*10^-01,   9.80879751064000*10^-01}  
{-7.52104253153000*10^-01,  -1.21206088628000*10^-01,  -6.47802652410000*10^-01}  
{ 6.73884568327000*10^-01,   4.87057131290000*10^-01,   5.55567223143000*10^-01}  
{ 3.45338112990000*10^-02,   9.82141305322000*10^-01,  -1.84948296175000*10^-01}  
{ 8.66266652845000*10^-01,   4.31628725126000*10^-01,   2.51552638257000*10^-01}  
{ 2.93198006450000*10^-02,   5.11218885928000*10^-01,   8.58950289575000*10^-01}  
{-7.45249927303000*10^-01,   4.15229652366000*10^-01,  -5.21715326256000*10^-01}  
{ 7.32707511609000*10^-01,   3.09255185588000*10^-01,   6.06218551860000*10^-01}  
{ 5.97828500336000*10^-01,   2.53382067320000*10^-02,  -8.01223476607000*10^-01}  
{ 2.57636156295000*10^-01,  -1.05415918209000*10^-01,  -9.60474411506000*10^-01}  
{ 9.59002735639000*10^-01,   1.71683326507000*10^-01,  -2.25474141392000*10^-01}  
{-9.02192331431000*10^-01,  -2.20614117820000*10^-02,   4.30769417690000*10^-01}  
{ 3.48089952678000*10^-01,  -7.98766441847000*10^-01,   4.90719427192000*10^-01}  
{ 4.80678731952000*10^-01,   7.84689628824000*10^-01,   3.91420672761000*10^-01}  
{ 2.17978239826000*10^-01,   9.47911853601000*10^-01,  -2.32268389507000*10^-01}  
{ 3.80540570013000*10^-01,  -2.30122347829000*10^-01,  -8.95674371412000*10^-01}  
{-5.33023586257000*10^-01,  -7.30507988017000*10^-01,   4.26900381749000*10^-01}  
{-3.19847942964000*10^-01,   5.27752009482000*10^-01,  -7.86876807302000*10^-01}  
{-5.07379186273000*10^-01,  -1.16279608206000*10^-01,   8.53841562617000*10^-01}  
{-2.65383513644000*10^-01,  -8.27474576876000*10^-01,  -4.94830693581000*10^-01}  
{ 4.02616802093000*10^-01,   4.68221035201000*10^-01,   7.86555003078000*10^-01}  
{ 8.54516452177000*10^-01,   5.60748998500000*10^-03,  -5.19394059472000*10^-01}  
{-2.49542941522000*10^-01,  -1.10123882921000*10^-01,  -9.62081623744000*10^-01}  
{-7.31401282380000*10^-02,   6.53679631039000*10^-01,   7.53228691439000*10^-01}  
{-8.15042775585000*10^-01,   6.48871270160000*10^-02,  -5.75755968023000*10^-01}  
{ 5.58838430780000*10^-02,  -9.00995686111000*10^-01,  -4.30213632620000*10^-01}  
{ 3.64627126990000*10^-02,   9.87091561593000*10^-01,   1.55951016718000*10^-01}  
{ 8.64912670127000*10^-01,   4.78743585131000*10^-01,  -1.50766882141000*10^-01}  
{-1.65540011366000*10^-01,  -4.23081596673000*10^-01,  -8.90841437739000*10^-01}  
{ 5.09825473034000*10^-01,  -4.73762907935000*10^-01,  -7.18071510444000*10^-01}  
{-4.82764900232000*10^-01,   5.56948059589000*10^-01,  -6.75830533509000*10^-01}  
{ 7.66149427961000*10^-01,  -1.69168641662000*10^-01,  -6.19997600571000*10^-01}  
{ 9.50153439441000*10^-01,   2.91199410248000*10^-01,   1.11406216115000*10^-01}  
{-6.59732669083000*10^-01,  -6.94829187469000*10^-01,   2.86295661137000*10^-01}  
{ 5.01420697460000*10^-01,   1.14003707733000*10^-01,   8.57659861939000*10^-01}  
{-8.66224950290000*10^-01,  -4.80847254604000*10^-01,   1.35794893997000*10^-01}  
{-4.06915660780000*10^-02,  -7.00523398482000*10^-01,  -7.12468360441000*10^-01}  
{-7.57691055132000*10^-01,   6.52473310965000*10^-01,  -1.35219618170000*10^-02}  
{ 5.20938728674000*10^-01,  -7.59509824298000*10^-01,   3.89573700039000*10^-01}  
{-8.34262771958000*10^-01,   3.34064888365000*10^-01,   4.38641399878000*10^-01}  
{-1.15806204656000*10^-01,   3.46029954740000*10^-01,   9.31048974751000*10^-01}  
{ 1.28627063683000*10^-01,  -6.83303343541000*10^-01,   7.18715255991000*10^-01}  
{ 3.80654921930000*10^-02,   6.82740528930000*10^-01,  -7.29668684034000*10^-01}  
{-4.84048807977000*10^-01,   3.66018787551000*10^-01,   7.94812555673000*10^-01}  
{ 5.43420226478000*10^-01,   6.36935182554000*10^-01,  -5.46816267752000*10^-01}  
{-1.38486175460000*10^-02,  -9.68180468958000*10^-01,  -2.49869556609000*10^-01}  
{ 4.87475302352000*10^-01,  -6.68997919805000*10^-01,   5.61078972065000*10^-01}  
{ 8.94095831045000*10^-01,   3.41188510262000*10^-01,  -2.90143146348000*10^-01}  
{ 6.07909946666000*10^-01,  -6.47377402771000*10^-01,  -4.59726000054000*10^-01}  
{-5.93793396179000*10^-01,   7.49707850217000*10^-01,   2.92143016307000*10^-01}  
{ 2.39678743263000*10^-01,  -8.49564234408000*10^-01,  -4.69887977760000*10^-01}  
{-5.39037551652000*10^-01,   8.30538607117000*10^-01,   1.40157554191000*10^-01}  
{-8.96356389034000*10^-01,   3.62449714966000*10^-01,   2.55294786391000*10^-01}  
{ 3.20275418059000*10^-01,  -9.39046532763000*10^-01,  -1.24961057501000*10^-01}  
{ 5.32346564589000*10^-01,  -3.88301310095000*10^-01,   7.52216210772000*10^-01}  
{ 8.66431968347000*10^-01,  -3.56761287884000*10^-01,  -3.49309358155000*10^-01}  
{ 2.33971765058000*10^-01,  -9.71700492378000*10^-01,   3.24864012900000*10^-02}  
{ 3.33789469019000*10^-01,   8.71571833102000*10^-01,  -3.59092091412000*10^-01}  
{ 1.34934442270000*10^-01,   1.70763815269000*10^-01,   9.76028901050000*10^-01}  
{-4.72447480086000*10^-01,   7.02700979728000*10^-01,  -5.31981871542000*10^-01}  
{ 2.06337789181000*10^-01,  -3.11336330702000*10^-01,  -9.27628377067000*10^-01}  
{ 3.63692901598000*10^-01,  -8.72725037810000*10^-01,  -3.25696916944000*10^-01}  
{ 1.24322058557000*10^-01,   6.52745956789000*10^-01,   7.47306323840000*10^-01}  
{-9.74287339717000*10^-01,  -2.24804314194000*10^-01,  -1.50731544990000*10^-02}  
{ 4.46783301095000*10^-01,  -2.42821197974000*10^-01,   8.61058968757000*10^-01}  
{ 2.18396923628000*10^-01,   5.00217545555000*10^-01,   8.37905239791000*10^-01}  
{-8.38596302886000*10^-01,   1.32242067091000*10^-01,   5.28458396166000*10^-01}  
{ 5.19900592973000*10^-01,  -2.95898224539000*10^-01,  -8.01341134687000*10^-01}  
{-3.87342538027000*10^-01,   6.88376223530000*10^-01,   6.13273130924000*10^-01}  
{ 4.30309364453000*10^-01,  -7.65326343189000*10^-01,  -4.78653778095000*10^-01}  
{-3.82914453157000*10^-01,  -9.15655032084000*10^-01,  -1.22279940228000*10^-01}  
{-3.94773106337000*10^-01,  -6.06741764015000*10^-01,   6.89941031040000*10^-01}  
{-8.64766207900000*10^-01,  -1.10826649264000*10^-01,  -4.89792669899000*10^-01}  
{ 2.29553993760000*10^-02,  -9.58498728325000*10^-01,   2.84171141110000*10^-01}  
{ 7.89182050928000*10^-01,   1.86607690479000*10^-01,  -5.85123286451000*10^-01}  
{ 2.56765378060000*10^-02,  -3.78938855756000*10^-01,  -9.25065434986000*10^-01}  
{ 5.31374307127000*10^-01,  -7.41802917280000*10^-02,   8.43883066571000*10^-01}  
{-4.21795336822000*10^-01,   8.48379675013000*10^-01,   3.19907206639000*10^-01}  
{ 7.83414797792000*10^-01,   5.92019993494000*10^-01,   1.89139054411000*10^-01}  
{ 4.86187979490000*10^-02,   8.13663996272000*10^-01,  -5.79298812062000*10^-01}  
{ 4.05313686672000*10^-01,   9.09598394452000*10^-01,   9.13869586280000*10^-02}  
{-3.09965808152000*10^-01,  -2.86817378695000*10^-01,  -9.06452971232000*10^-01}  
{ 2.72926513829000*10^-01,   3.30594643434000*10^-01,   9.03448006131000*10^-01}  
{-7.92116111654000*10^-01,   5.15481935893000*10^-01,   3.26849261015000*10^-01}  
{-7.84892248452000*10^-01,  -2.92026719628000*10^-01,  -5.46502107355000*10^-01}  
{-1.61602864028000*10^-01,   9.73430177642000*10^-01,   1.62228861780000*10^-01}  
{-2.25620754324000*10^-01,  -7.19820645738000*10^-01,  -6.56470496814000*10^-01}  
{ 5.31688594437000*10^-01,   8.22844847890000*10^-01,   2.00583136995000*10^-01}  
{-5.95124358951000*10^-01,  -2.79730037010000*10^-01,   7.53377796180000*10^-01}  
{-6.77579186978000*10^-01,  -5.78936190016000*10^-01,   4.53562931977000*10^-01}  
{ 2.09691419802000*10^-01,   7.63962405216000*10^-01,   6.10238438546000*10^-01}  
{ 1.87689057682000*10^-01,  -9.39940325321000*10^-01,  -2.85105248043000*10^-01}  
{-8.72811451154000*10^-01,  -3.65502488501000*10^-01,   3.23431757306000*10^-01}  
{-1.31872031207000*10^-01,  -9.79789175049000*10^-01,   1.50409241215000*10^-01}  
{ 3.11764525063000*10^-01,  -6.91328642852000*10^-01,   6.51818677613000*10^-01}  
{ 7.44250117074000*10^-01,   5.49010916209000*10^-01,   3.80366635127000*10^-01}  
{ 9.19717470400000*10^-03,   7.77594413237000*10^-01,   6.28698926737000*10^-01}  
{ 9.79044233561000*10^-01,   1.12638473147000*10^-01,   1.69661318805000*10^-01}  
