{ 0.00000000000000*10^+00,   0.00000000000000*10^+00,   1.00000000000000*10^+00} 
{-5.47290916806000*10^-01,   6.27832402383000*10^-01,  -5.53442975292000*10^-01} 
{ 2.32528427092000*10^-01,   5.28179178353000*10^-01,  -8.16674528897000*10^-01} 
{-8.69617075008000*10^-01,  -3.26375804866000*10^-01,  -3.70465891619000*10^-01} 
{ 2.70808392928000*10^-01,  -9.56850763350000*10^-02,   9.57865951210000*10^-01} 
{-2.83708622494000*10^-01,   2.52654684847000*10^-01,   9.25027041630000*10^-01} 
{-6.42885743350000*10^-01,   4.55441791666000*10^-01,  -6.15849572056000*10^-01} 
{-5.66340745779000*10^-01,  -7.85489659306000*10^-01,   2.49527863763000*10^-01} 
{ 4.13790457730000*10^-01,  -5.29834833131000*10^-01,   7.40305684628000*10^-01} 
{-5.34358338287000*10^-01,  -7.23025468863000*10^-01,   4.37830261263000*10^-01} 
{-4.92167708050000*10^-02,  -3.69259190348000*10^-01,  -9.28022284116000*10^-01} 
{ 8.77744218442000*10^-01,   4.72958189151000*10^-01,  -7.66527123190000*10^-02} 
{-7.99002497491000*10^-01,  -1.87786907331000*10^-01,   5.71253959669000*10^-01} 
{-1.36008300380000*10^-01,  -6.73209757408000*10^-01,   7.26835858196000*10^-01} 
{ 2.75940226729000*10^-01,   3.93967821818000*10^-01,   8.76724783866000*10^-01} 
{-4.90784072954000*10^-01,   5.14635376000000*10^-01,  -7.03051508429000*10^-01} 
{-7.04900625991000*10^-01,  -6.68349756044000*10^-01,  -2.37536757311000*10^-01} 
{ 1.43945344241000*10^-01,  -2.59756235786000*10^-01,  -9.54885561647000*10^-01} 
{-2.83364934192000*10^-01,   9.34729393217000*10^-01,   2.14441776542000*10^-01} 
{-7.89345542026000*10^-01,   5.23044743832000*10^-01,  -3.21493096713000*10^-01} 
{ 1.32873120742000*10^-01,  -8.42272344480000*10^-01,   5.22419401926000*10^-01} 
{ 5.19203240644000*10^-01,   5.24693370819000*10^-01,  -6.74629425332000*10^-01} 
{-5.68757573910000*10^-01,   8.16980120108000*10^-01,   9.51751305150000*10^-02} 
{-6.22893162743000*10^-01,  -5.39851777568000*10^-01,  -5.66183862420000*10^-01} 
{-6.71518107000000*10^-02,  -5.39506777008000*10^-01,   8.39299155178000*10^-01} 
{-8.18004056152000*10^-01,  -5.57015799490000*10^-01,  -1.43536626815000*10^-01} 
{ 9.64314161277000*10^-01,  -1.84197866111000*10^-01,  -1.90182397928000*10^-01} 
{ 6.98285143410000*10^-02,   9.84170340292000*10^-01,  -1.62888673252000*10^-01} 
{ 4.91095353469000*10^-01,   6.90721384132000*10^-01,   5.30781803856000*10^-01} 
{ 6.89682221146000*10^-01,  -6.98558753683000*10^-01,   1.90667515555000*10^-01} 
{-2.17468798972000*10^-01,   9.75441191133000*10^-01,   3.49543146780000*10^-02} 
{-5.44144644612000*10^-01,  -2.96633031700000*10^-01,  -7.84802809784000*10^-01} 
{-2.31298423007000*10^-01,   4.17717428738000*10^-01,   8.78642810955000*10^-01} 
{ 1.77931612725000*10^-01,   7.81153693538000*10^-01,   5.98447364657000*10^-01} 
{-5.65438603088000*10^-01,   3.93425366630000*10^-02,  -8.23851534530000*10^-01} 
{-2.56134218733000*10^-01,  -8.65244257438000*10^-01,   4.30984497359000*10^-01} 
{-9.70710702678000*10^-01,   2.38448884757000*10^-01,   2.93744968440000*10^-02} 
{-9.63595909288000*10^-01,   1.62152994343000*10^-01,   2.12577821114000*10^-01} 
{ 7.71361775940000*10^-02,   9.86528172342000*10^-01,   1.44264255035000*10^-01} 
{-3.10692206856000*10^-01,   5.31868404314000*10^-01,  -7.87773033996000*10^-01} 
{ 7.66155600886000*10^-01,   6.34266071828000*10^-01,  -1.03499494484000*10^-01} 
{-1.40060940277000*10^-01,   2.46669319246000*10^-01,  -9.58925012684000*10^-01} 
{-6.10586196784000*10^-01,   7.46452280319000*10^-01,   2.64562827137000*10^-01} 
{-7.37860780460000*10^-01,   5.15419489916000*10^-01,   4.35780011099000*10^-01} 
{ 5.17182546180000*10^-02,   5.51841090819000*10^-01,  -8.32344059042000*10^-01} 
{ 1.75963270759000*10^-01,   9.84285516684000*10^-01,  -1.47969249840000*10^-02} 
{-9.33553564340000*10^-02,   3.10950277038000*10^-01,   9.45830165852000*10^-01} 
{ 3.54697316868000*10^-01,   7.62774986150000*10^-02,  -9.31864559156000*10^-01} 
{-7.17241573451000*10^-01,   6.87173391799000*10^-01,   1.15573590914000*10^-01} 
{ 4.96705891540000*10^-02,   8.87823160965000*10^-01,  -4.57496303183000*10^-01} 
{ 6.87281353355000*10^-01,   7.24888548132000*10^-01,   4.67004723550000*10^-02} 
{ 5.37483805407000*10^-01,  -8.17380621577000*10^-01,   2.07364602562000*10^-01} 
{-4.85047720730000*10^-01,   7.75605242158000*10^-01,   4.03937144804000*10^-01} 
{-4.36614520747000*10^-01,  -5.18150968686000*10^-01,   7.35450429277000*10^-01} 
{-7.48690942330000*10^-02,  -5.19226683829000*10^-01,  -8.51350849843000*10^-01} 
{ 3.11193598173000*10^-01,   5.48580604091000*10^-01,   7.76026974577000*10^-01} 
{-6.45688534029000*10^-01,   4.93812768153000*10^-01,   5.82439067227000*10^-01} 
{ 3.22371842277000*10^-01,  -7.93442361457000*10^-01,   5.16261188115000*10^-01} 
{ 1.40924647422000*10^-01,   3.94159305139000*10^-01,  -9.08173268667000*10^-01} 
{ 3.55390935351000*10^-01,   8.80963980087000*10^-01,  -3.12409585096000*10^-01} 
{-5.92489317527000*10^-01,  -1.59358665796000*10^-01,   7.89658929065000*10^-01} 
{ 1.86004868800000*10^-03,   7.62941456886000*10^-01,   6.46464905144000*10^-01} 
{-8.05454348124000*10^-01,  -5.91392102196000*10^-01,   3.87127181670000*10^-02} 
{ 5.42737287571000*10^-01,   8.39720269632000*10^-01,   1.74958695030000*10^-02} 
{ 5.48005956081000*10^-01,  -5.66301393678000*10^-01,   6.15623426795000*10^-01} 
{-1.75480953365000*10^-01,  -7.54851917431000*10^-01,  -6.31984982224000*10^-01} 
{-1.05455338868000*10^-01,   9.77389875518000*10^-01,   1.83270845304000*10^-01} 
{-6.66180238749000*10^-01,   7.44219755181000*10^-01,  -4.83822849700000*10^-02} 
{-8.61899163285000*10^-01,   4.81089415309000*10^-01,  -1.60258562352000*10^-01} 
{-9.63429048850000*10^-01,  -9.61024207700000*10^-03,  -2.67791170652000*10^-01} 
{-1.42553483138000*10^-01,   8.85737791935000*10^-01,  -4.41754534084000*10^-01} 
{-4.04003134827000*10^-01,   5.39672180670000*10^-02,  -9.13164282276000*10^-01} 
{-1.81022524470000*10^-02,   6.32574968301000*10^-01,   7.74287555069000*10^-01} 
{-5.30678946358000*10^-01,  -3.54064822002000*10^-01,   7.70076592108000*10^-01} 
{ 8.99993184526000*10^-01,   3.53847258549000*10^-01,   2.54567054868000*10^-01} 
{-6.76514154804000*10^-01,  -6.12324847064000*10^-01,  -4.09129417200000*10^-01} 
{ 7.46299487591000*10^-01,   5.33610980238000*10^-01,  -3.97864796872000*10^-01} 
{-9.66240452778000*10^-01,  -2.49066704655000*10^-01,  -6.59178583310000*10^-02} 
{-3.69404616660000*10^-02,   8.90502317590000*10^-02,  -9.95341880218000*10^-01} 
{ 5.04121067847000*10^-01,  -8.56513340379000*10^-01,  -1.10665472057000*10^-01} 
{ 1.79134455124000*10^-01,   8.75421484053000*10^-01,   4.48941056538000*10^-01} 
{-3.39542085167000*10^-01,   7.66149692663000*10^-01,   5.45642576081000*10^-01} 
{-2.98224337317000*10^-01,  -9.45867239005000*10^-01,  -1.28052375259000*10^-01} 
{-7.06927780642000*10^-01,   3.14024298221000*10^-01,   6.33752201640000*10^-01} 
{ 3.19861251196000*10^-01,  -2.19377908555000*10^-01,  -9.21716937688000*10^-01} 
{-1.95560428101000*10^-01,   5.79064977401000*10^-01,   7.91479545477000*10^-01} 
{-4.92383255520000*10^-02,   4.79890105567000*10^-01,   8.75945816747000*10^-01} 
{ 2.40217380438000*10^-01,  -5.96044564903000*10^-01,   7.66176537611000*10^-01} 
{ 4.40850243060000*10^-01,  -4.41952325385000*10^-01,  -7.81235691249000*10^-01} 
{-8.11675093973000*10^-01,  -2.58831315032000*10^-01,  -5.23631446900000*10^-01} 
{-9.07221369891000*10^-01,   4.20620397975000*10^-01,   5.27890335700000*10^-03} 
{ 8.62528759055000*10^-01,  -5.04989812509000*10^-01,  -3.20847170180000*10^-02} 
{ 3.54313586344000*10^-01,  -2.39339122763000*10^-01,   9.03979350896000*10^-01} 
{ 6.17283943581000*10^-01,   5.59908866876000*10^-01,   5.52686704917000*10^-01} 
{ 4.92386073362000*10^-01,   7.91704410445000*10^-01,   3.61607634380000*10^-01} 
{ 3.64360674690000*10^-01,   5.88557700482000*10^-01,  -7.21693239502000*10^-01} 
{-8.97315135643000*10^-01,   2.63498394724000*10^-01,   3.54110354726000*10^-01} 
{ 9.47748239282000*10^-01,  -2.44485951652000*10^-01,   2.04938757640000*10^-01} 
{ 1.51596655612000*10^-01,  -8.16097491133000*10^-01,  -5.57676733398000*10^-01} 
{-9.04159270844000*10^-01,  -1.36659334193000*10^-01,  -4.04747130101000*10^-01} 
{-4.96893215745000*10^-01,  -6.28259942678000*10^-01,   5.98653970649000*10^-01} 
{-3.78124528491000*10^-01,  -7.62438003699000*10^-01,   5.25081071330000*10^-01} 
{-3.87535537550000*10^-02,   9.51875677529000*10^-01,  -3.04024434215000*10^-01} 
{ 7.51012897022000*10^-01,  -9.44053275550000*10^-02,   6.53503835211000*10^-01} 
{ 3.33975247852000*10^-01,  -9.36358418134000*10^-01,  -1.08136240971000*10^-01} 
{-8.78793552126000*10^-01,  -4.58053845702000*10^-01,   1.33822894826000*10^-01} 
{ 4.43940928230000*10^-01,  -8.54757648010000*10^-02,  -8.91969924310000*10^-01} 
{ 6.95849482264000*10^-01,   6.64560218099000*10^-01,  -2.72310878506000*10^-01} 
{-1.30176995960000*10^-01,   5.52074760326000*10^-01,  -8.23569917332000*10^-01} 
{ 1.62716873695000*10^-01,   9.34005393166000*10^-01,  -3.18052109806000*10^-01} 
{ 4.40869999850000*10^-01,  -8.95846507438000*10^-01,   5.56118543500000*10^-02} 
{-2.30685535127000*10^-01,  -8.43614671446000*10^-01,  -4.84869539159000*10^-01} 
{-2.84188527678000*10^-01,  -6.02671486636000*10^-01,  -7.45670141505000*10^-01} 
{ 1.79725565166000*10^-01,   6.70667689621000*10^-01,  -7.19655175292000*10^-01} 
{-7.41454489073000*10^-01,   6.44180397901000*10^-01,  -1.87821339556000*10^-01} 
{ 7.21955053030000*10^-01,  -6.16015726584000*10^-01,  -3.15127793136000*10^-01} 
{-4.08821656742000*10^-01,  -8.07382208514000*10^-01,  -4.25439563691000*10^-01} 
{ 6.23775032307000*10^-01,   6.77580169500000*10^-01,   3.89602134198000*10^-01} 
{-4.54370539272000*10^-01,  -8.89635777431000*10^-01,  -4.57776862320000*10^-02} 
{-4.14991032657000*10^-01,   7.41982190241000*10^-01,  -5.26540475349000*10^-01} 
{-3.95442595694000*10^-01,  -4.58809736082000*10^-01,  -7.95687614323000*10^-01} 
{ 8.24665438724000*10^-01,   5.12209118853000*10^-01,  -2.39934851028000*10^-01} 
{-3.28942235420000*10^-01,   2.36415914535000*10^-01,  -9.14278142094000*10^-01} 
{ 6.01628473500000*10^-02,  -9.97105364078000*10^-01,   4.64900497490000*10^-02} 
{-8.32162077883000*10^-01,   1.86166154054000*10^-01,   5.22348963068000*10^-01} 
{-5.46772481423000*10^-01,  -4.52590271307000*10^-01,  -7.04415999163000*10^-01} 
{-8.26060494789000*10^-01,  -6.66164814790000*10^-02,  -5.59630506088000*10^-01} 
{-3.33444005267000*10^-01,  -1.01606704039000*10^-01,   9.37278599481000*10^-01} 
{ 6.58224490470000*10^-01,  -7.40226903972000*10^-01,  -1.37130050614000*10^-01} 
{ 7.29899722438000*10^-01,  -2.34189192932000*10^-01,  -6.42185189099000*10^-01} 
{ 5.18270480590000*10^-02,   2.48487547312000*10^-01,  -9.67247587705000*10^-01} 
{ 3.10619919600000*10^-03,   8.66581981253000*10^-01,   4.99025070808000*10^-01} 
{ 5.39224048427000*10^-01,  -2.23008248956000*10^-01,   8.12098975800000*10^-01} 
{ 6.92352785123000*10^-01,  -4.30367857939000*10^-01,   5.79164163071000*10^-01} 
{ 2.67441878590000*10^-02,  -7.38103917181000*10^-01,  -6.74156773947000*10^-01} 
{ 2.48382339915000*10^-01,  -6.90938622300000*10^-02,  -9.66194727485000*10^-01} 
{ 6.72554049981000*10^-01,   8.48928616290000*10^-02,  -7.35162738378000*10^-01} 
{ 5.97960642832000*10^-01,  -1.29787403440000*10^-01,  -7.90947722376000*10^-01} 
{ 3.31753207167000*10^-01,   3.91707137498000*10^-01,  -8.58198886021000*10^-01} 
{ 4.36850065531000*10^-01,   2.25322547144000*10^-01,  -8.70856917062000*10^-01} 
{ 9.33541452460000*10^-02,   3.59560819898000*10^-01,   9.28440100577000*10^-01} 
{-4.42682260731000*10^-01,  -8.84243916640000*10^-01,   1.48812337930000*10^-01} 
{ 9.96211996599000*10^-01,  -4.77112045240000*10^-02,  -7.27000604870000*10^-02} 
{ 8.08719443615000*10^-01,   6.89443815910000*10^-02,  -5.84139995007000*10^-01} 
{-9.01344389501000*10^-01,  -1.03309771467000*10^-01,   4.20601215684000*10^-01} 
{-7.99478165019000*10^-01,   1.21027150873000*10^-01,  -5.88376658620000*10^-01} 
{-7.22857782468000*10^-01,  -7.28587902700000*10^-02,   6.87144979612000*10^-01} 
{ 2.32039658458000*10^-01,   2.27422315494000*10^-01,   9.45746629557000*10^-01} 
